mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
9.4000000000e+01	3.9404985242e-25	6.3244169195e-26	1.0000000000e+00	1.8421540933e+00	7.0553564144e+01	3.8403262745e+00
1.2224000000e+02	4.8873406034e-25	8.0227964095e-26	1.0000000000e+00	1.8295066577e+00	7.0480284016e+01	3.8400033581e+00
1.7078000000e+02	2.9882867347e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403069562e+00
2.3296000000e+02	1.6107326145e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401347526e+00
3.1778000000e+02	1.3850553065e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400486688e+00
4.4395000000e+02	1.6350372095e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400712206e+00
6.0559000000e+02	2.3062346178e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401848156e+00
8.4604000000e+02	3.7063202138e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402611377e+00
1.0000000000e+03	4.8473443113e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401490230e+00
