case	state	r_value	mass_mode	custom_mass_min_GeV	custom_mass_max_GeV	mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	1.0000000000e+03	2.4261342865e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402208064e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	9.4000000000e+00	3.4712725231e-26	9.3352984304e-27	1.0000000000e+00	2.0130893036e+00	6.7654564801e+01	3.8401180828e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	2.5300000000e+01	4.4672286574e-26	1.1851882125e-26	1.0000000000e+00	1.9179323056e+00	6.6844142849e+01	3.8403339154e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	3.5190000000e+01	4.7834363863e-26	8.9740305711e-27	1.0000000000e+00	1.9145545193e+00	7.0260560723e+01	3.8402804768e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	4.6690000000e+01	3.4941298032e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402727061e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	6.4940000000e+01	3.5333740530e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400786601e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	9.0330000000e+01	7.7619678723e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402538143e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	1.2565000000e+02	2.5865461437e-25	1.8998232193e-26	1.0000000000e+00	1.9100655429e+00	7.1382191670e+01	3.8401362369e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	1.6673000000e+02	4.3213883542e-25	4.9571867726e-26	1.0000000000e+00	1.8130859891e+00	7.1062667449e+01	3.8406132408e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	2.3191000000e+02	1.5102857271e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402341284e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	3.2258000000e+02	8.5849409078e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400686842e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	4.4870000000e+02	8.8257886276e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401279283e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	5.9538000000e+02	1.1494156653e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400102225e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	8.2814000000e+02	1.7839261471e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400039503e+00
onshell_4b_r1p0	4b	1.0	baseline-plus-edges	9.4	1000.0	1.0000000000e+03	2.4063034477e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401904945e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	9.7700000000e+01	2.5384825366e-20	5.1803434515e-21	1.0000000000e+00	1.9511511347e+00	6.9777192737e+01	3.8403095309e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	1.4641000000e+02	1.8025872585e-21	5.5812532347e-23	1.0000000000e+00	1.9925993762e+00	7.1518323225e+01	3.8401152555e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	1.7328000000e+02	1.7190320469e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401571202e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	2.4275000000e+02	3.3663867528e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402621089e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	3.1788000000e+02	1.6371220376e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400220315e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	4.4531000000e+02	1.7415782175e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401279739e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	6.0313000000e+02	1.2748451558e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402328395e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	8.4490000000e+02	3.6493917068e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401842483e+00
onshell_4tau_r0p1	4tau	0.1	baseline-plus-edges	97.7	1000.0	1.0000000000e+03	4.4049950125e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402092980e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	7.0930000000e+01	6.8719488747e-20	9.8543964623e-21	1.0000000000e+00	1.9990182031e+00	7.1054077407e+01	3.8403311757e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	9.0550000000e+01	7.4903721698e-21	1.4154186256e-21	1.0000000000e+00	2.0596252516e+00	7.0552638839e+01	3.8400352130e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	1.2541000000e+02	7.1060324232e-21	9.9662379966e-22	1.0000000000e+00	1.9745484350e+00	7.1043374046e+01	3.8403159276e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	1.6676000000e+02	8.4673944028e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401309025e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	2.3095000000e+02	9.4495346555e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401385211e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	3.1986000000e+02	8.8280741906e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401791076e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	4.4300000000e+02	1.7714508055e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401932510e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	6.1354000000e+02	2.2729257275e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402675087e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	8.4973000000e+02	3.0162451004e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400486038e+00
onshell_4tau_r0p2	4tau	0.2	baseline-plus-edges	70.93	1000.0	1.0000000000e+03	5.3536115239e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400955211e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	3.3200000000e+01	1.7686160646e+03	8.3003702466e+00	1.0000000000e+00	3.7166903050e+00	6.9273434316e+01	3.8408392530e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	4.9690000000e+01	5.9949973279e-21	1.2982838042e-21	1.0000000000e+00	1.9409666876e+00	6.9592157099e+01	3.8403268385e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	6.5020000000e+01	1.7877128149e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400962198e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	8.8970000000e+01	4.0837299204e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400552713e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	1.2174000000e+02	8.8295682512e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402927299e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	1.6659000000e+02	4.9301948050e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401431811e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	2.3841000000e+02	2.5292775271e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400144602e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	3.2624000000e+02	2.2839143517e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400530658e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	4.4642000000e+02	4.4113357860e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400405800e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	6.1088000000e+02	1.9853042409e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402256612e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	8.3592000000e+02	3.8930954841e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402214635e+00
onshell_4tau_r0p3	4tau	0.3	baseline-plus-edges	33.2	1000.0	1.0000000000e+03	7.6866929590e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402832108e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	3.0720000000e+01	3.0387272211e-20	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400953514e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	3.3790000000e+01	3.9381533545e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401246026e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	4.7190000000e+01	1.1636104509e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403312951e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	6.5910000000e+01	1.0138936774e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400753894e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	8.7750000000e+01	1.8830807252e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400136756e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	1.2254000000e+02	2.0356547863e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401926683e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	1.7113000000e+02	1.3606690106e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402891607e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	2.3899000000e+02	8.2866567279e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400113313e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	3.1820000000e+02	2.2455899110e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400253610e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	4.4437000000e+02	1.4897326771e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401933172e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	6.2057000000e+02	2.9822397515e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401734254e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	8.2626000000e+02	9.2539110863e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401131170e+00
onshell_4tau_r0p4	4tau	0.4	baseline-plus-edges	30.72	1000.0	1.0000000000e+03	6.9169755759e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402165717e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	2.6060000000e+01	3.6704659266e-21	3.7706421777e-22	1.0000000000e+00	2.0037421340e+00	7.1355249823e+01	3.8402001524e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	3.5170000000e+01	6.0025694862e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402645808e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	4.7460000000e+01	1.5842630066e-20	5.6080253813e-22	1.0000000000e+00	2.0126537922e+00	7.1522443157e+01	3.8401064400e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	6.4050000000e+01	1.8129996756e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401331727e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	9.0870000000e+01	6.0715282161e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400230178e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	1.2264000000e+02	3.8532971154e-21	4.1537041985e-22	1.0000000000e+00	1.8699474836e+00	7.1166865843e+01	3.8403333590e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	1.7399000000e+02	9.6990331658e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400937685e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	2.3481000000e+02	9.8545511404e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400434486e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	3.1689000000e+02	9.6891902279e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402356274e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	4.4958000000e+02	1.7334922676e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400666847e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	6.0674000000e+02	1.7846901093e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402354633e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	8.1885000000e+02	3.2870128683e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401843828e+00
onshell_4tau_r0p5	4tau	0.5	baseline-plus-edges	26.06	1000.0	1.0000000000e+03	3.6067220257e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401601079e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	1.6690000000e+01	1.0559807685e+05	3.6801644301e-10	1.0000000000e+00	2.0252631188e+00	7.0612623286e+01	3.8402307425e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	2.5270000000e+01	2.7270450393e-20	7.8596595284e-21	1.0000000000e+00	1.9812825035e+00	6.4635108807e+01	3.8405587346e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	3.4480000000e+01	2.6921501965e-21	6.3726375532e-22	1.0000000000e+00	1.9524432556e+00	6.8525991612e+01	3.8400554203e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	4.7050000000e+01	8.2196183580e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401354482e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	6.4200000000e+01	4.3315310957e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400419000e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	8.7610000000e+01	6.8739380031e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402641204e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	1.2590000000e+02	2.9037964365e-21	3.1739180963e-22	1.0000000000e+00	1.9219052304e+00	7.1211567922e+01	3.8400092234e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	1.7180000000e+02	3.8225520584e-21	5.2082289062e-22	1.0000000000e+00	1.9016826088e+00	7.0961499365e+01	3.8400534923e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	2.3443000000e+02	2.1028820394e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400206836e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	3.1990000000e+02	9.3287811459e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400886812e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	4.3653000000e+02	1.0575080943e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401485723e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	5.9567000000e+02	1.1728029993e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402756832e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	8.5606000000e+02	3.8336029742e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400416667e+00
onshell_4tau_r0p6	4tau	0.6	baseline-plus-edges	16.69	1000.0	1.0000000000e+03	2.7333379072e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401647975e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	1.9280000000e+01	7.1448958050e-22	1.8908911192e-22	1.0000000000e+00	1.9502817926e+00	6.6449781825e+01	3.8405628339e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	2.5170000000e+01	4.8005260382e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402228754e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	3.4670000000e+01	5.5258462968e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400338697e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	4.7750000000e+01	9.4869987703e-22	4.4795508904e-23	1.0000000000e+00	1.9889587400e+00	7.1498336983e+01	3.8402306378e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	6.5770000000e+01	4.8956920648e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400609149e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	9.0590000000e+01	6.0782103591e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400462895e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	1.2478000000e+02	1.5910996288e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400233861e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	1.7187000000e+02	2.3274445090e-21	2.9176255513e-22	1.0000000000e+00	1.9307866977e+00	7.1101868326e+01	3.8400896983e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	2.3673000000e+02	1.2713980460e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402202064e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	3.2607000000e+02	8.1434700342e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400560922e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	4.4912000000e+02	1.5756925784e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402729755e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	6.1861000000e+02	2.2736951312e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401373797e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	8.5207000000e+02	3.1967722651e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400556079e+00
onshell_4tau_r0p7	4tau	0.7	baseline-plus-edges	19.28	1000.0	1.0000000000e+03	9.0273130343e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402588258e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	2.5590000000e+01	1.3163045180e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400443470e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	3.3640000000e+01	1.0727599405e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401061426e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	4.6710000000e+01	6.8582521225e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402527981e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	6.4850000000e+01	5.2759210382e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401647715e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	9.0050000000e+01	4.2490019905e-21	1.1866661058e-21	1.0000000000e+00	1.9794365737e+00	6.5566604742e+01	3.8403762281e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	1.2505000000e+02	3.0865292701e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401266564e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	1.7363000000e+02	1.2616461841e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400989577e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	2.2827000000e+02	1.1805688512e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402384320e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	3.1697000000e+02	2.0637501433e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401109675e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	4.4013000000e+02	9.7525231091e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400652977e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	6.1115000000e+02	2.3529608229e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401545416e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	8.4863000000e+02	4.8211904096e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401416729e+00
onshell_4tau_r0p8	4tau	0.8	baseline-plus-edges	12.56	1000.0	1.0000000000e+03	2.8028969540e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401875273e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	2.4980000000e+01	9.8632889436e-22	2.7574288887e-22	1.0000000000e+00	1.9767590909e+00	6.5623610090e+01	3.8405136565e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	3.4940000000e+01	4.8729619225e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401427259e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	4.6210000000e+01	9.5008446942e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401960754e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	6.4620000000e+01	1.0235272874e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400788152e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	9.0370000000e+01	3.6138197148e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402099420e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	1.2639000000e+02	7.7501946403e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400277846e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	1.6715000000e+02	1.3412370243e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401403321e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	2.3376000000e+02	2.0922332621e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401131678e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	3.2692000000e+02	5.7993756153e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400217685e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	4.3234000000e+02	1.2002091998e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401009916e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	6.0464000000e+02	1.5900229754e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400470335e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	8.4560000000e+02	3.3368934484e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402685683e+00
onshell_4tau_r0p9	4tau	0.9	baseline-plus-edges	10.8	1000.0	1.0000000000e+03	4.6623249690e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401500920e+00
