mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.5670000000e+01	2.7303050014e-25	7.7141323050e-26	1.0000000000e+00	1.9527179672e+00	6.5467352299e+01	3.8403623733e+00
2.4860000000e+01	4.3133800263e-26	8.6625203183e-27	1.0000000000e+00	1.9078598254e+00	6.9932096382e+01	3.8403087107e+00
3.4790000000e+01	3.1090550734e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403497951e+00
4.6670000000e+01	3.2291706241e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400517078e+00
6.5300000000e+01	5.5878812734e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400895612e+00
9.1360000000e+01	1.3170514908e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403077768e+00
1.2257000000e+02	2.6129084487e-25	9.2962877688e-27	1.0000000000e+00	1.9510358928e+00	7.1500087055e+01	3.8401725450e+00
1.7149000000e+02	2.6061694517e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402423597e+00
2.3007000000e+02	1.5774187055e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400365193e+00
3.2190000000e+02	9.4566851924e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400785267e+00
4.5038000000e+02	8.7655067651e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402204534e+00
6.0424000000e+02	1.1587901823e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400503523e+00
8.4541000000e+02	1.8451804921e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402171516e+00
1.0000000000e+03	2.4109908951e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400604674e+00
