L_kpc	mDM_GeV	R_GV	flux
1	97.7	1.37331724e-01	9.02384343e-32
1	97.7	1.39801434e-01	9.65352632e-32
1	97.7	1.42315558e-01	1.03295310e-31
1	97.7	1.44874895e-01	1.10554610e-31
1	97.7	1.47480258e-01	1.18352164e-31
1	97.7	1.50132474e-01	1.26730197e-31
1	97.7	1.52832387e-01	1.35734441e-31
1	97.7	1.55580853e-01	1.45414443e-31
1	97.7	1.58378747e-01	1.55823899e-31
1	97.7	1.61226957e-01	1.67021024e-31
1	97.7	1.64126387e-01	1.79068952e-31
1	97.7	1.67077960e-01	1.92036175e-31
1	97.7	1.70082612e-01	2.05997025e-31
1	97.7	1.73141299e-01	2.21032199e-31
1	97.7	1.76254991e-01	2.37229334e-31
1	97.7	1.79424679e-01	2.54683640e-31
1	97.7	1.82651369e-01	2.73498587e-31
1	97.7	1.85936087e-01	2.93786667e-31
1	97.7	1.89279875e-01	3.15670217e-31
1	97.7	1.92683796e-01	3.39282336e-31
1	97.7	1.96148932e-01	3.64767917e-31
1	97.7	1.99676383e-01	3.92284850e-31
1	97.7	2.03267270e-01	4.22067642e-31
1	97.7	2.06922734e-01	4.54421506e-31
1	97.7	2.10643936e-01	4.89599818e-31
1	97.7	2.14432059e-01	5.27885042e-31
1	97.7	2.18288306e-01	5.69591551e-31
1	97.7	2.22213901e-01	6.15069757e-31
1	97.7	2.26210092e-01	6.64710807e-31
1	97.7	2.30278150e-01	7.18951874e-31
1	97.7	2.34419365e-01	7.78282217e-31
1	97.7	2.38635054e-01	8.43250111e-31
1	97.7	2.42926555e-01	9.14470803e-31
1	97.7	2.47295234e-01	9.92635641e-31
1	97.7	2.51742476e-01	1.07852258e-30
1	97.7	2.56269696e-01	1.17300830e-30
1	97.7	2.60878331e-01	1.27708213e-30
1	97.7	2.65569845e-01	1.39186224e-30
1	97.7	2.70345730e-01	1.51861428e-30
1	97.7	2.75207502e-01	1.65877303e-30
1	97.7	2.80156706e-01	1.81396759e-30
1	97.7	2.85194914e-01	1.98605058e-30
1	97.7	2.90323726e-01	2.17713226e-30
1	97.7	2.95544773e-01	2.38962033e-30
1	97.7	3.00859713e-01	2.62626638e-30
1	97.7	3.06270234e-01	2.89022048e-30
1	97.7	3.11778056e-01	3.18509506e-30
1	97.7	3.17384927e-01	3.51504011e-30
1	97.7	3.23092630e-01	3.88483175e-30
1	97.7	3.28902978e-01	4.29997671e-30
1	97.7	3.34817816e-01	4.76683591e-30
1	97.7	3.40839024e-01	5.29277078e-30
1	97.7	3.46968515e-01	5.88631707e-30
1	97.7	3.53208235e-01	6.55739141e-30
1	97.7	3.59560168e-01	7.31753762e-30
1	97.7	3.66026331e-01	8.18022081e-30
1	97.7	3.72608778e-01	9.16117928e-30
1	97.7	3.79309601e-01	1.02788466e-29
1	97.7	3.86130928e-01	1.15548590e-29
1	97.7	3.93074927e-01	1.30146660e-29
1	97.7	4.00143804e-01	1.46882681e-29
1	97.7	4.07339804e-01	1.66111089e-29
1	97.7	4.14665214e-01	1.88251565e-29
1	97.7	4.22122360e-01	2.13802183e-29
1	97.7	4.29713613e-01	2.43355419e-29
1	97.7	4.37441382e-01	2.77617698e-29
1	97.7	4.45308125e-01	3.17433312e-29
1	97.7	4.53316339e-01	3.63813769e-29
1	97.7	4.61468569e-01	4.17973867e-29
1	97.7	4.69767406e-01	4.81376168e-29
1	97.7	4.78215484e-01	5.55785958e-29
1	97.7	4.86815489e-01	6.43339307e-29
1	97.7	4.95570152e-01	7.46627613e-29
1	97.7	5.04482256e-01	8.68802833e-29
1	97.7	5.13554630e-01	1.01370884e-28
1	97.7	5.22790158e-01	1.18604579e-28
1	97.7	5.32191773e-01	1.39157633e-28
1	97.7	5.41762462e-01	1.63738500e-28
1	97.7	5.51505266e-01	1.93220536e-28
1	97.7	5.61423281e-01	2.28683362e-28
1	97.7	5.71519656e-01	2.71465315e-28
1	97.7	5.81797600e-01	3.23230119e-28
1	97.7	5.92260377e-01	3.86051870e-28
1	97.7	6.02911312e-01	4.62523665e-28
1	97.7	6.13753789e-01	5.55896805e-28
1	97.7	6.24791252e-01	6.70259699e-28
1	97.7	6.36027207e-01	8.10768376e-28
1	97.7	6.47465225e-01	9.83944356e-28
1	97.7	6.59108938e-01	1.19806055e-27
1	97.7	6.70962047e-01	1.46364265e-27
1	97.7	6.83028317e-01	1.79412228e-27
1	97.7	6.95311580e-01	2.20669027e-27
1	97.7	7.07815740e-01	2.72341424e-27
1	97.7	7.20544769e-01	3.37270668e-27
1	97.7	7.33502712e-01	4.19125826e-27
1	97.7	7.46693683e-01	5.22659113e-27
1	97.7	7.60121875e-01	6.54043985e-27
1	97.7	7.73791554e-01	8.21324034e-27
1	97.7	7.87707061e-01	1.03501058e-26
1	97.7	8.01872819e-01	1.30888037e-26
1	97.7	8.16293327e-01	1.66104304e-26
1	97.7	8.30973166e-01	2.11537357e-26
1	97.7	8.45917001e-01	2.70343909e-26
1	97.7	8.61129579e-01	3.46709765e-26
1	97.7	8.76615733e-01	4.46201186e-26
1	97.7	8.92380383e-01	5.76241114e-26
1	97.7	9.08428537e-01	7.46756270e-26
1	97.7	9.24765293e-01	9.71058448e-26
1	97.7	9.41395842e-01	1.26704770e-25
1	97.7	9.58325468e-01	1.65885876e-25
1	97.7	9.75559547e-01	2.17911905e-25
1	97.7	9.93103556e-01	2.87205244e-25
1	97.7	1.01096307e+00	3.79775475e-25
1	97.7	1.02914376e+00	5.03809596e-25
1	97.7	1.04765140e+00	6.70488434e-25
1	97.7	1.06649188e+00	8.95118316e-25
1	97.7	1.08567117e+00	1.19870261e-24
1	97.7	1.10519538e+00	1.61012842e-24
1	97.7	1.12507070e+00	2.16921452e-24
1	97.7	1.14530345e+00	2.93096752e-24
1	97.7	1.16590005e+00	3.97153465e-24
1	97.7	1.18686705e+00	5.39654365e-24
1	97.7	1.20821112e+00	7.35280431e-24
1	97.7	1.22993903e+00	1.00447512e-23
1	97.7	1.25205768e+00	1.37575811e-23
1	97.7	1.27457410e+00	1.88898517e-23
1	97.7	1.29749545e+00	2.59994723e-23
1	97.7	1.32082900e+00	3.58686564e-23
1	97.7	1.34458218e+00	4.95957618e-23
1	97.7	1.36876252e+00	6.87252689e-23
1	97.7	1.39337771e+00	9.54319185e-23
1	97.7	1.41843556e+00	1.32781782e-22
1	97.7	1.44394405e+00	1.85102696e-22
1	97.7	1.46991127e+00	2.58510244e-22
1	97.7	1.49634547e+00	3.61655015e-22
1	97.7	1.52325505e+00	5.06784847e-22
1	97.7	1.55064856e+00	7.11255414e-22
1	97.7	1.57853470e+00	9.99679257e-22
1	97.7	1.60692234e+00	1.40698386e-21
1	97.7	1.63582048e+00	1.98276439e-21
1	97.7	1.66523832e+00	2.79747961e-21
1	97.7	1.69518519e+00	3.95127266e-21
1	97.7	1.72567061e+00	5.58652751e-21
1	97.7	1.75670427e+00	7.90574253e-21
1	97.7	1.78829602e+00	1.11969675e-20
1	97.7	1.82045591e+00	1.58699979e-20
1	97.7	1.85319414e+00	2.25078569e-20
1	97.7	1.88652112e+00	3.19400015e-20
1	97.7	1.92044744e+00	4.53463652e-20
1	97.7	1.95498387e+00	6.44051676e-20
1	97.7	1.99014139e+00	9.15027695e-20
1	97.7	2.02593117e+00	1.30031451e-19
1	97.7	2.06236458e+00	1.84811666e-19
1	97.7	2.09945318e+00	2.62690349e-19
1	97.7	2.13720877e+00	3.73388101e-19
1	97.7	2.17564334e+00	5.30697676e-19
1	97.7	2.21476910e+00	7.54178074e-19
1	97.7	2.25459848e+00	1.07154702e-18
1	97.7	2.29514413e+00	1.52205633e-18
1	97.7	2.33641893e+00	2.16124943e-18
1	97.7	2.37843600e+00	3.06766000e-18
1	97.7	2.42120869e+00	4.35223326e-18
1	97.7	2.46475058e+00	6.17156237e-18
1	97.7	2.50907551e+00	8.74646307e-18
1	97.7	2.55419756e+00	1.23880083e-17
1	97.7	2.60013106e+00	1.75339758e-17
1	97.7	2.64689061e+00	2.47998102e-17
1	97.7	2.69449106e+00	3.50497876e-17
1	97.7	2.74294753e+00	4.94962680e-17
1	97.7	2.79227542e+00	6.98379442e-17
1	97.7	2.84249041e+00	9.84521632e-17
1	97.7	2.89360843e+00	1.38662136e-16
1	97.7	2.94564574e+00	1.95107766e-16
1	97.7	2.99861886e+00	2.74259740e-16
1	97.7	3.05254463e+00	3.85131586e-16
1	97.7	3.10744017e+00	5.40265274e-16
1	97.7	3.16332293e+00	7.57095177e-16
1	97.7	3.22021066e+00	1.05983647e-15
1	97.7	3.27812143e+00	1.48210227e-15
1	97.7	3.33707365e+00	2.07053834e-15
1	97.7	3.39708603e+00	2.88988816e-15
1	97.7	3.45817764e+00	4.03008954e-15
1	97.7	3.52036790e+00	5.61627805e-15
1	97.7	3.58367656e+00	7.82299130e-15
1	97.7	3.64812373e+00	1.08944925e-14
1	97.7	3.71372989e+00	1.51740679e-14
1	97.7	3.78051589e+00	2.11464542e-14
1	97.7	3.84850293e+00	2.94994035e-14
1	97.7	3.91771261e+00	4.12131952e-14
1	97.7	3.98816694e+00	5.76910200e-14
1	97.7	4.05988828e+00	8.09492506e-14
1	97.7	4.13289942e+00	1.13895979e-13
1	97.7	4.20722356e+00	1.60740526e-13
1	97.7	4.28288431e+00	2.27597940e-13
1	97.7	4.35990571e+00	3.23384529e-13
1	97.7	4.43831223e+00	4.61149950e-13
1	97.7	4.51812877e+00	6.60065487e-13
1	97.7	4.59938070e+00	9.48403793e-13
1	97.7	4.68209382e+00	1.36803057e-12
1	97.7	4.76629442e+00	1.98113808e-12
1	97.7	4.85200924e+00	2.88061830e-12
1	97.7	4.93926552e+00	4.20575079e-12
1	97.7	5.02809098e+00	6.16368831e-12
1	97.7	5.11851383e+00	9.08178963e-12
1	97.7	5.21056280e+00	1.33990911e-11
1	97.7	5.30426714e+00	1.99292091e-11
1	97.7	5.39965661e+00	2.98720347e-11
1	97.7	5.49676153e+00	4.30029901e-11
1	97.7	5.59561273e+00	5.73901882e-11
1	97.7	5.69624163e+00	7.21681154e-11
1	97.7	5.79868019e+00	8.65215255e-11
1	97.7	5.90296096e+00	9.96789205e-11
1	97.7	6.00911706e+00	1.11104915e-10
1	97.7	6.11718223e+00	1.19158360e-10
1	97.7	6.22719079e+00	1.23055501e-10
1	97.7	6.33917769e+00	1.24221676e-10
1	97.7	6.45317852e+00	1.24037713e-10
1	97.7	6.56922948e+00	1.22957004e-10
1	97.7	6.68736745e+00	1.21407570e-10
1	97.7	6.80762996e+00	1.19590240e-10
1	97.7	6.93005521e+00	1.17628270e-10
1	97.7	7.05468210e+00	1.15595633e-10
1	97.7	7.18155022e+00	1.13532559e-10
1	97.7	7.31069988e+00	1.11463278e-10
1	97.7	7.44217211e+00	1.09401391e-10
1	97.7	7.57600867e+00	1.07354777e-10
1	97.7	7.71225209e+00	1.05327986e-10
1	97.7	7.85094564e+00	1.03323662e-10
1	97.7	7.99213340e+00	1.01343369e-10
1	97.7	8.13586021e+00	9.93880526e-11
1	97.7	8.28217174e+00	9.74582952e-11
1	97.7	8.43111446e+00	9.55544678e-11
1	97.7	8.58273571e+00	9.36768128e-11
1	97.7	8.73708363e+00	9.18254905e-11
1	97.7	8.89420728e+00	9.00006062e-11
1	97.7	9.05415657e+00	8.82022243e-11
1	97.7	9.21698231e+00	8.64303773e-11
1	97.7	9.38273624e+00	8.46850715e-11
1	97.7	9.55147100e+00	8.29662900e-11
1	97.7	9.72324022e+00	8.12739953e-11
1	97.7	9.89809845e+00	7.96081302e-11
1	97.7	1.00761012e+01	7.79686189e-11
1	97.7	1.02573052e+01	7.63553691e-11
1	97.7	1.04417678e+01	7.47682741e-11
1	97.7	1.06295477e+01	7.32072122e-11
1	97.7	1.08207045e+01	7.16720437e-11
1	97.7	1.10152990e+01	7.01626099e-11
1	97.7	1.12133931e+01	6.86787422e-11
1	97.7	1.14150495e+01	6.72202772e-11
1	97.7	1.16203324e+01	6.57870456e-11
1	97.7	1.18293071e+01	6.43788193e-11
1	97.7	1.20420399e+01	6.29952864e-11
1	97.7	1.22585983e+01	6.16361354e-11
1	97.7	1.24790512e+01	6.03012266e-11
1	97.7	1.27034687e+01	5.89905155e-11
1	97.7	1.29319220e+01	5.77032760e-11
1	97.7	1.31644836e+01	5.64376906e-11
1	97.7	1.34012276e+01	5.51916826e-11
1	97.7	1.36422290e+01	5.39644447e-11
1	97.7	1.38875645e+01	5.27570003e-11
1	97.7	1.41373120e+01	5.15708994e-11
1	97.7	1.43915509e+01	5.04071026e-11
1	97.7	1.46503618e+01	4.92658775e-11
1	97.7	1.49138271e+01	4.81471507e-11
1	97.7	1.51820305e+01	4.70507266e-11
1	97.7	1.54550570e+01	4.59763347e-11
1	97.7	1.57329936e+01	4.49236762e-11
1	97.7	1.60159284e+01	4.38924398e-11
1	97.7	1.63039515e+01	4.28823075e-11
1	97.7	1.65971541e+01	4.18929581e-11
1	97.7	1.68956296e+01	4.09240695e-11
1	97.7	1.71994728e+01	3.99753192e-11
1	97.7	1.75087801e+01	3.90463853e-11
1	97.7	1.78236499e+01	3.81369464e-11
1	97.7	1.81441821e+01	3.72466824e-11
1	97.7	1.84704786e+01	3.63752742e-11
1	97.7	1.88026431e+01	3.55224042e-11
1	97.7	1.91407811e+01	3.46877566e-11
1	97.7	1.94850000e+01	3.38710173e-11
1	97.7	1.98354092e+01	3.30718741e-11
1	97.7	2.01921200e+01	3.22900168e-11
1	97.7	2.05552457e+01	3.15251367e-11
1	97.7	2.09249017e+01	3.07769269e-11
1	97.7	2.13012054e+01	3.00450776e-11
1	97.7	2.16842764e+01	2.93292780e-11
1	97.7	2.20742363e+01	2.86292008e-11
1	97.7	2.24712091e+01	2.79444694e-11
1	97.7	2.28753209e+01	2.72746922e-11
1	97.7	2.32867000e+01	2.66190671e-11
1	97.7	2.37054772e+01	2.59766802e-11
1	97.7	2.41317855e+01	2.53452131e-11
1	97.7	2.45657603e+01	2.47183970e-11
1	97.7	2.50075395e+01	2.40896726e-11
1	97.7	2.54572635e+01	2.34195970e-11
1	97.7	2.59150750e+01	2.26575205e-11
1	97.7	2.63811197e+01	2.16420090e-11
1	97.7	2.68555455e+01	1.98939030e-11
1	97.7	2.73385031e+01	1.70166250e-11
1	97.7	2.78301461e+01	1.36337795e-11
1	97.7	2.83306305e+01	1.03383328e-11
1	97.7	2.88401154e+01	7.25346665e-12
1	97.7	2.93587626e+01	4.40453188e-12
1	97.7	2.98867369e+01	1.66980889e-12
1	97.7	3.04242061e+01	4.95689414e-13
1	97.7	3.09713409e+01	1.61700167e-13
1	97.7	3.15283151e+01	5.10694107e-14
1	97.7	3.20953056e+01	1.60177504e-14
1	97.7	3.26724927e+01	5.00761283e-15
1	97.7	3.32600596e+01	1.55166405e-15
1	97.7	3.38581930e+01	4.77763434e-16
1	97.7	3.44670830e+01	1.46057866e-16
1	97.7	3.50869230e+01	4.43298496e-17
1	97.7	3.57179100e+01	1.33550430e-17
1	97.7	3.63602442e+01	3.99239373e-18
1	97.7	3.70141300e+01	1.18389593e-18
1	97.7	3.76797749e+01	3.48111382e-19
1	97.7	3.83573904e+01	1.01454327e-19
1	97.7	3.90471919e+01	2.92949002e-20
1	97.7	3.97493984e+01	8.37738096e-21
1	97.7	4.04642331e+01	2.37166946e-21
1	97.7	4.11919231e+01	6.64473239e-22
1	97.7	4.19326995e+01	1.84179549e-22
1	97.7	4.26867977e+01	5.04923014e-23
1	97.7	4.34544572e+01	1.36875006e-23
1	97.7	4.42359219e+01	3.66816790e-24
1	97.7	4.50314402e+01	9.71685401e-25
1	97.7	4.58412647e+01	2.54385298e-25
1	97.7	4.66656526e+01	6.58109275e-26
1	97.7	4.75048660e+01	1.68229969e-26
1	97.7	4.83591715e+01	4.24889659e-27
1	97.7	4.92288403e+01	1.06020929e-27
1	97.7	5.01141489e+01	2.61354924e-28
1	97.7	5.10153785e+01	6.36471613e-29
1	97.7	5.19328153e+01	1.53117913e-29
1	97.7	5.28667509e+01	3.63884720e-30
1	97.7	5.38174820e+01	8.54253870e-31
1	97.7	5.47853105e+01	1.98103184e-31
1	97.7	5.57705441e+01	4.53810438e-32
1	97.7	5.67734956e+01	1.02691359e-32
1	97.7	5.77944838e+01	2.29545075e-33
1	97.7	5.88338329e+01	5.06844929e-34
1	97.7	5.98918732e+01	1.10548684e-34
1	97.7	6.09689408e+01	2.38177888e-35
1	97.7	6.20653779e+01	5.06893089e-36
1	97.7	6.31815328e+01	1.06560333e-36
1	97.7	6.43177601e+01	2.21276698e-37
1	97.7	6.54744208e+01	4.53871355e-38
1	97.7	6.66518823e+01	9.19564695e-39
1	97.7	6.78505188e+01	1.84025932e-39
1	97.7	6.90707110e+01	3.63761837e-40
1	97.7	7.03128465e+01	7.10215448e-41
1	97.7	7.15773200e+01	1.36959082e-41
1	97.7	7.28645333e+01	2.60862442e-42
1	97.7	7.41748952e+01	4.90731483e-43
1	97.7	7.55088220e+01	9.11756779e-44
1	97.7	7.68667375e+01	1.67304382e-44
