mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
9.4000000000e+00	3.4712725231e-26	9.3352984304e-27	1.0000000000e+00	2.0130893036e+00	6.7654564801e+01	3.8401180828e+00
2.5300000000e+01	4.4672286574e-26	1.1851882125e-26	1.0000000000e+00	1.9179323056e+00	6.6844142849e+01	3.8403339154e+00
3.5190000000e+01	4.7834363863e-26	8.9740305711e-27	1.0000000000e+00	1.9145545193e+00	7.0260560723e+01	3.8402804768e+00
4.6690000000e+01	3.4941298032e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402727061e+00
6.4940000000e+01	3.5333740530e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400786601e+00
9.0330000000e+01	7.7619678723e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402538143e+00
1.2565000000e+02	2.5865461437e-25	1.8998232193e-26	1.0000000000e+00	1.9100655429e+00	7.1382191670e+01	3.8401362369e+00
1.6673000000e+02	4.3213883542e-25	4.9571867726e-26	1.0000000000e+00	1.8130859891e+00	7.1062667449e+01	3.8406132408e+00
2.3191000000e+02	1.5102857271e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402341284e+00
3.2258000000e+02	8.5849409078e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400686842e+00
4.4870000000e+02	8.8257886276e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401279283e+00
5.9538000000e+02	1.1494156653e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400102225e+00
8.2814000000e+02	1.7839261471e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400039503e+00
1.0000000000e+03	2.4063034477e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401904945e+00
