mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.9280000000e+01	7.1448958050e-22	1.8908911192e-22	1.0000000000e+00	1.9502817926e+00	6.6449781825e+01	3.8405628339e+00
2.5170000000e+01	4.8005260382e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402228754e+00
3.4670000000e+01	5.5258462968e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400338697e+00
4.7750000000e+01	9.4869987703e-22	4.4795508904e-23	1.0000000000e+00	1.9889587400e+00	7.1498336983e+01	3.8402306378e+00
6.5770000000e+01	4.8956920648e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400609149e+00
9.0590000000e+01	6.0782103591e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400462895e+00
1.2478000000e+02	1.5910996288e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400233861e+00
1.7187000000e+02	2.3274445090e-21	2.9176255513e-22	1.0000000000e+00	1.9307866977e+00	7.1101868326e+01	3.8400896983e+00
2.3673000000e+02	1.2713980460e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402202064e+00
3.2607000000e+02	8.1434700342e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400560922e+00
4.4912000000e+02	1.5756925784e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402729755e+00
6.1861000000e+02	2.2736951312e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401373797e+00
8.5207000000e+02	3.1967722651e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400556079e+00
1.0000000000e+03	9.0273130343e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402588258e+00
