mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.4030000000e+01	3.3583571330e-26	9.6248249638e-27	1.0000000000e+00	1.9619957132e+00	6.5228450207e+01	3.8403694860e+00
2.4700000000e+01	4.3671511198e-26	9.7924554521e-27	1.0000000000e+00	1.9022146548e+00	6.9156087064e+01	3.8402788823e+00
3.5000000000e+01	3.7895945622e-26	2.2892025694e-27	1.0000000000e+00	1.9757340880e+00	7.1468470270e+01	3.8403153556e+00
4.7470000000e+01	3.4911745763e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403077575e+00
6.4380000000e+01	5.0398318029e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402292159e+00
9.1200000000e+01	1.1742864745e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402911855e+00
1.2370000000e+02	2.6948253493e-25	1.3128384700e-26	1.0000000000e+00	1.9318941631e+00	7.1468316809e+01	3.8402415804e+00
1.6778000000e+02	3.2346957967e-25	3.1315440599e-27	1.0000000000e+00	1.9911491863e+00	7.1531583231e+01	3.8403192794e+00
2.3769000000e+02	1.7769962734e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402177169e+00
3.2238000000e+02	8.7388471563e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401892399e+00
4.3725000000e+02	8.6784247851e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401296785e+00
6.1945000000e+02	1.2027445851e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400545640e+00
8.4017000000e+02	1.8254586826e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402494576e+00
1.0000000000e+03	2.4275716844e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400556605e+00
