L_kpc	mDM_GeV	R_GV	flux
1	7	1.29749545e+00	0.00000000e+00
1	7	1.32082900e+00	0.00000000e+00
1	7	1.34458218e+00	0.00000000e+00
1	7	1.36876252e+00	0.00000000e+00
1	7	1.39337771e+00	0.00000000e+00
1	7	1.41843556e+00	0.00000000e+00
1	7	1.44394405e+00	0.00000000e+00
1	7	1.46991127e+00	0.00000000e+00
1	7	1.49634547e+00	0.00000000e+00
1	7	1.52325505e+00	0.00000000e+00
1	7	1.55064856e+00	0.00000000e+00
1	7	1.57853470e+00	0.00000000e+00
1	7	1.60692234e+00	0.00000000e+00
1	7	1.63582048e+00	0.00000000e+00
1	7	1.66523832e+00	0.00000000e+00
1	7	1.69518519e+00	0.00000000e+00
1	7	1.72567061e+00	0.00000000e+00
1	7	1.75670427e+00	0.00000000e+00
1	7	1.78829602e+00	0.00000000e+00
1	7	1.82045591e+00	0.00000000e+00
1	7	1.85319414e+00	0.00000000e+00
1	7	1.88652112e+00	0.00000000e+00
1	7	1.92044744e+00	0.00000000e+00
1	7	1.95498387e+00	0.00000000e+00
1	7	1.99014139e+00	0.00000000e+00
1	7	2.02593117e+00	0.00000000e+00
1	7	2.06236458e+00	0.00000000e+00
1	7	2.09945318e+00	0.00000000e+00
1	7	2.13720877e+00	0.00000000e+00
1	7	2.17564334e+00	0.00000000e+00
1	7	2.21476910e+00	0.00000000e+00
1	7	2.25459848e+00	0.00000000e+00
1	7	2.29514413e+00	0.00000000e+00
1	7	2.33641893e+00	0.00000000e+00
1	7	2.37843600e+00	0.00000000e+00
1	7	2.42120869e+00	0.00000000e+00
1	7	2.46475058e+00	0.00000000e+00
1	7	2.50907551e+00	0.00000000e+00
1	7	2.55419756e+00	0.00000000e+00
1	7	2.60013106e+00	0.00000000e+00
1	7	2.64689061e+00	0.00000000e+00
1	7	2.69449106e+00	0.00000000e+00
1	7	2.74294753e+00	0.00000000e+00
1	7	2.79227542e+00	0.00000000e+00
1	7	2.84249041e+00	0.00000000e+00
1	7	2.89360843e+00	0.00000000e+00
1	7	2.94564574e+00	0.00000000e+00
1	7	2.99861886e+00	0.00000000e+00
1	7	3.05254463e+00	0.00000000e+00
1	7	3.10744017e+00	0.00000000e+00
1	7	3.16332293e+00	0.00000000e+00
1	7	3.22021066e+00	0.00000000e+00
1	7	3.27812143e+00	0.00000000e+00
1	7	3.33707365e+00	0.00000000e+00
1	7	3.39708603e+00	0.00000000e+00
1	7	3.45817764e+00	0.00000000e+00
1	7	3.52036790e+00	0.00000000e+00
1	7	3.58367656e+00	0.00000000e+00
1	7	3.64812373e+00	0.00000000e+00
1	7	3.71372989e+00	0.00000000e+00
1	7	3.78051589e+00	0.00000000e+00
1	7	3.84850293e+00	0.00000000e+00
1	7	3.91771261e+00	0.00000000e+00
1	7	3.98816694e+00	0.00000000e+00
1	7	4.05988828e+00	0.00000000e+00
1	7	4.13289942e+00	0.00000000e+00
1	7	4.20722356e+00	0.00000000e+00
1	7	4.28288431e+00	0.00000000e+00
1	7	4.35990571e+00	0.00000000e+00
1	7	4.43831223e+00	0.00000000e+00
1	7	4.51812877e+00	0.00000000e+00
1	7	4.59938070e+00	0.00000000e+00
1	7	4.68209382e+00	0.00000000e+00
1	7	4.76629442e+00	0.00000000e+00
1	7	4.85200924e+00	0.00000000e+00
1	7	4.93926552e+00	0.00000000e+00
1	7	5.02809098e+00	0.00000000e+00
1	7	5.11851383e+00	0.00000000e+00
1	7	5.21056280e+00	0.00000000e+00
1	7	5.30426714e+00	0.00000000e+00
1	7	5.39965661e+00	0.00000000e+00
1	7	5.49676153e+00	0.00000000e+00
1	7	5.59561273e+00	0.00000000e+00
1	7	5.69624163e+00	0.00000000e+00
1	7	5.79868019e+00	0.00000000e+00
1	7	5.90296096e+00	0.00000000e+00
1	7	6.00911706e+00	0.00000000e+00
1	7	6.11718223e+00	0.00000000e+00
1	7	6.22719079e+00	0.00000000e+00
1	7	6.33917769e+00	0.00000000e+00
1	7	6.45317852e+00	0.00000000e+00
1	7	6.56922948e+00	0.00000000e+00
1	7	6.68736745e+00	0.00000000e+00
