mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.8800000000e+01	3.2579438922e-26	7.6461115377e-27	1.0000000000e+00	1.9063587049e+00	6.8677163903e+01	3.8403428135e+00
2.4900000000e+01	6.6962273386e-26	1.3414535141e-26	1.0000000000e+00	1.9093139670e+00	6.9941551527e+01	3.8402877460e+00
3.4330000000e+01	5.3564093221e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400304102e+00
4.7330000000e+01	5.6664413272e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400452300e+00
6.5250000000e+01	1.1119169641e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401816297e+00
8.9960000000e+01	2.7856233980e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400652619e+00
1.2402000000e+02	5.3092223734e-25	1.5461202620e-26	1.0000000000e+00	1.9591682358e+00	7.1511088411e+01	3.8401454367e+00
1.7099000000e+02	3.8759842977e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401373966e+00
2.3573000000e+02	2.3681283842e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400360309e+00
3.2500000000e+02	1.8451804921e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401943829e+00
4.4807000000e+02	1.8154465370e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400356786e+00
6.1774000000e+02	2.3979701542e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400997449e+00
8.5167000000e+02	3.7125975584e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400116405e+00
1.0000000000e+03	4.7910732107e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401845644e+00
