mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.3430000000e+01	8.1371666633e-26	2.2317780092e-26	1.0000000000e+00	1.9726145159e+00	6.6426605078e+01	3.8402435800e+00
2.4700000000e+01	8.7173694823e-26	1.9227860995e-26	1.0000000000e+00	1.9019154639e+00	6.9294717328e+01	3.8402731826e+00
3.5000000000e+01	7.1691804299e-26	1.5172220720e-27	1.0000000000e+00	1.9970861324e+00	7.1527226733e+01	3.8402233878e+00
4.7470000000e+01	7.2435203449e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401154675e+00
6.4380000000e+01	1.1682411570e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402434088e+00
9.1200000000e+01	2.8934882719e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401016546e+00
1.2370000000e+02	5.6923634034e-25	3.1318082872e-26	1.0000000000e+00	1.9171560077e+00	7.1445905440e+01	3.8400130720e+00
1.6778000000e+02	5.5238384400e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402009432e+00
2.3769000000e+02	3.2236465819e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401801188e+00
3.2238000000e+02	1.8280863406e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401356369e+00
4.3725000000e+02	1.7449619025e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400303762e+00
6.1945000000e+02	2.3959420253e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401807666e+00
8.4017000000e+02	3.6512262922e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401612608e+00
1.0000000000e+03	4.8154581931e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401701900e+00
