3.133289015970278646e-01 3.874082584042156435e-07 7.696007509656255307e-08 3.108567899787478587e-07 4.646043047825223489e-07
4.069987803028407014e-01 4.126308041350228896e-07 6.528561388000776003e-08 3.362938362869462754e-07 4.670908715027134904e-07
5.289536773971799111e-01 6.325979602279016243e-07 5.400013904771285814e-08 5.761842118939766687e-07 6.853656372564153004e-07
6.875696306033302063e-01 7.296935269025869765e-07 4.330840229440646634e-08 6.796480815237754770e-07 7.656780988113405609e-07
8.942482716382514907e-01 6.988327375591894934e-07 3.421358073948562026e-08 6.659391061363456551e-07 7.337344067448827207e-07
1.160344787821275148e+00 8.764209283627973274e-07 3.425769536651649672e-08 8.389059577521961052e-07 9.067315191131890374e-07
1.506784684689886245e+00 8.683347251074129707e-07 3.250913857187191978e-08 8.419189249416747695e-07 9.071918503495532919e-07
1.962855088462721831e+00 8.716590807331229598e-07 3.374490513675574068e-08 8.401577971703087090e-07 9.071425513333915837e-07
2.553115709866671690e+00 7.549229222787139658e-07 3.568536090963559119e-08 7.164178741499644001e-07 7.870485179864967802e-07
3.316594679298632276e+00 7.380752894050258629e-07 3.813617088399641894e-08 7.080601937641840864e-07 7.841834554463240643e-07
4.308108563430591786e+00 7.311213352175360307e-07 4.139199228399552441e-08 6.982199558585393706e-07 7.801857777145115000e-07
7.282032564431444754e+00 4.991434343053885417e-07 2.719908998691637156e-08 4.745046021311323321e-07 5.286672651969602141e-07
1.601764039826290897e+01 2.978777445420764561e-07 3.249179506326564014e-08 2.677228191831792655e-07 3.331668510635046246e-07
3.523240441815482882e+01 2.212655991917718778e-07 4.007726567289558341e-08 1.753374331213422469e-07 2.541265302708787796e-07
7.749644123457747469e+01 1.303992165491070459e-07 4.764980016941874136e-08 8.750339902428611964e-08 1.833657230566570313e-07
1.704599674812477303e+02 1.668664339975951009e-08 3.698120464982396799e-08 1.269331025465255548e-08 8.536776024609519567e-08
3.749416797515359008e+02 8.474103452144710948e-08 5.737806336273463630e-08 3.867615261733815633e-08 1.547233754943517336e-07
