# E  dN/dE  [GeV  ph/GeV]
2.330995e-08 0.000000e+00
2.615420e-08 0.000000e+00
2.934549e-08 0.000000e+00
3.292619e-08 0.000000e+00
3.694379e-08 0.000000e+00
4.145161e-08 0.000000e+00
4.650947e-08 0.000000e+00
5.218449e-08 0.000000e+00
5.855196e-08 0.000000e+00
6.569638e-08 0.000000e+00
7.371255e-08 0.000000e+00
8.270684e-08 0.000000e+00
9.279860e-08 0.000000e+00
1.041217e-07 0.000000e+00
1.168265e-07 0.000000e+00
1.310815e-07 0.000000e+00
1.470759e-07 0.000000e+00
1.650218e-07 0.000000e+00
1.851576e-07 0.000000e+00
2.077502e-07 0.000000e+00
2.330995e-07 0.000000e+00
2.615420e-07 0.000000e+00
2.934549e-07 0.000000e+00
3.292619e-07 0.000000e+00
3.694379e-07 0.000000e+00
4.145161e-07 0.000000e+00
4.650947e-07 0.000000e+00
5.218449e-07 0.000000e+00
5.855196e-07 0.000000e+00
6.569638e-07 0.000000e+00
7.371255e-07 0.000000e+00
8.270684e-07 0.000000e+00
9.279860e-07 9.355143e+01
1.041217e-06 0.000000e+00
1.168265e-06 0.000000e+00
1.310815e-06 0.000000e+00
1.470759e-06 0.000000e+00
1.650218e-06 0.000000e+00
1.851576e-06 4.688678e+01
2.077502e-06 1.671516e+02
2.330995e-06 2.234610e+02
2.615420e-06 3.319330e+01
2.934549e-06 2.366685e+02
3.292619e-06 5.009611e+02
3.694379e-06 5.639774e+02
4.145161e-06 5.864196e+02
4.650947e-06 8.586343e+02
5.218449e-06 9.482553e+02
5.855196e-06 9.192679e+02
6.569638e-06 1.123232e+03
7.371255e-06 1.177743e+03
8.270684e-06 1.091651e+03
9.279860e-06 1.019711e+03
1.041217e-05 1.008871e+03
1.168265e-05 8.620023e+02
1.310815e-05 9.338337e+02
1.470759e-05 8.499882e+02
1.650218e-05 8.312038e+02
1.851576e-05 6.986130e+02
2.077502e-05 5.683153e+02
2.330995e-05 5.549281e+02
2.615420e-05 4.978995e+02
2.934549e-05 3.905030e+02
3.292619e-05 3.954956e+02
3.694379e-05 3.924342e+02
4.145161e-05 2.722662e+02
4.650947e-05 2.594569e+02
5.218449e-05 2.462137e+02
5.855196e-05 2.179555e+02
6.569638e-05 1.968959e+02
7.371255e-05 1.601730e+02
8.270684e-05 1.564000e+02
9.279860e-05 1.384561e+02
1.041217e-04 1.175627e+02
1.168265e-04 8.991575e+01
1.310815e-04 9.669484e+01
1.470759e-04 9.975556e+01
1.650218e-04 7.785959e+01
1.851576e-04 7.314338e+01
2.077502e-04 6.184607e+01
2.330995e-04 5.363063e+01
2.615420e-04 5.111768e+01
2.934549e-04 4.467117e+01
3.292619e-04 4.034055e+01
3.694379e-04 3.736350e+01
4.145161e-04 3.015872e+01
4.650947e-04 2.911890e+01
5.218449e-04 2.378956e+01
5.855196e-04 2.298170e+01
6.569638e-04 2.497539e+01
7.371255e-04 1.860833e+01
8.270684e-04 1.616483e+01
9.279860e-04 1.375206e+01
1.041217e-03 1.108925e+01
1.168265e-03 1.122089e+01
1.310815e-03 8.146209e+00
1.470759e-03 9.149179e+00
1.650218e-03 8.101607e+00
1.851576e-03 7.642545e+00
2.077502e-03 6.727850e+00
2.330995e-03 5.139602e+00
2.615420e-03 5.908407e+00
2.934549e-03 5.443375e+00
3.292619e-03 5.088710e+00
3.694379e-03 4.981800e+00
4.145161e-03 5.089284e+00
4.650947e-03 5.357132e+00
5.218449e-03 5.689532e+00
5.855196e-03 6.301433e+00
6.569638e-03 6.448671e+00
7.371255e-03 7.231340e+00
8.270684e-03 8.271355e+00
9.279860e-03 9.579666e+00
1.041217e-02 1.107257e+01
1.168265e-02 1.351709e+01
1.310815e-02 1.655071e+01
1.470759e-02 1.842231e+01
1.650218e-02 2.255298e+01
1.851576e-02 2.620502e+01
2.077502e-02 2.927242e+01
2.330995e-02 3.338507e+01
2.615420e-02 3.626700e+01
2.934549e-02 3.991118e+01
3.292619e-02 4.279526e+01
3.694379e-02 4.476100e+01
4.145161e-02 4.677743e+01
4.650947e-02 4.845871e+01
5.218449e-02 4.884846e+01
5.855196e-02 5.014014e+01
6.569638e-02 4.934026e+01
7.371255e-02 4.848531e+01
8.270684e-02 4.816700e+01
9.279860e-02 4.579342e+01
1.041217e-01 4.330143e+01
1.168265e-01 4.053566e+01
1.310815e-01 3.745004e+01
1.470759e-01 3.385550e+01
1.650218e-01 3.051780e+01
1.851576e-01 2.715120e+01
2.077502e-01 2.440496e+01
2.330995e-01 2.168875e+01
2.615420e-01 1.928796e+01
2.934549e-01 1.700404e+01
3.292619e-01 1.503437e+01
3.694379e-01 1.299075e+01
4.145161e-01 1.115370e+01
4.650947e-01 9.512175e+00
5.218449e-01 8.080300e+00
5.855196e-01 6.743127e+00
6.569638e-01 5.543347e+00
7.371255e-01 4.534781e+00
8.270684e-01 3.677919e+00
9.279860e-01 2.965019e+00
1.041217e+00 2.311483e+00
1.168265e+00 1.824993e+00
1.310815e+00 1.409493e+00
1.470759e+00 1.074645e+00
1.650218e+00 8.175257e-01
1.851576e+00 6.050270e-01
2.077502e+00 4.511420e-01
2.330995e+00 3.365695e-01
2.615420e+00 2.413485e-01
2.934549e+00 1.719692e-01
3.292619e+00 1.218654e-01
3.694379e+00 8.457310e-02
4.145161e+00 5.841158e-02
4.650947e+00 3.822789e-02
5.218449e+00 2.368975e-02
5.855196e+00 1.512344e-02
6.569638e+00 8.457274e-03
7.371255e+00 5.182068e-03
8.270684e+00 2.120322e-03
9.279860e+00 9.168040e-04
1.041217e+01 2.251201e-04
1.168265e+01 5.201738e-05
1.310815e+01 0.000000e+00
1.470759e+01 0.000000e+00
1.650218e+01 0.000000e+00
