# energy, flux_median, flux_min, flux_max, statistical uncertainty average
3.133289015970278646e-01 2.694553598309459173e-07 3.723160397676461180e-11 5.388734880579150380e-07 4.889122067792310537e-08
4.069987803028407014e-01 2.628624533281032583e-07 3.335601330375289021e-11 5.256915506429027206e-07 4.534344368209804661e-08
5.289536773971799111e-01 4.104407893655322158e-07 3.338278160579810232e-10 8.205477509150064046e-07 4.871077650274635390e-08
6.875696306033302063e-01 5.367104826973901721e-07 6.295524797036007707e-08 1.010465717424420201e-06 4.492553613459663798e-08
8.942482716382514907e-01 5.349417141958207509e-07 3.893848946949110064e-08 1.030944938922150487e-06 3.622782380022371460e-08
1.160344787821275148e+00 7.465314614239267099e-07 2.946921819694484492e-07 1.198370740878404918e-06 3.643743816597529666e-08
1.506784684689886245e+00 7.951334336747347588e-07 2.915245467993005553e-07 1.298742320550169015e-06 3.430251024199055876e-08
1.962855088462721831e+00 8.741438109753148376e-07 4.037435435212049177e-07 1.344544078429424758e-06 3.528674044959159553e-08
2.553115709866671690e+00 8.122551811814405829e-07 3.411192829709206373e-07 1.283391079391960476e-06 3.712143679718227106e-08
3.316594679298632276e+00 8.412870242478190125e-07 3.917466044894386789e-07 1.290827444006199452e-06 4.071605070648407035e-08
4.308108563430591786e+00 8.335112664782874673e-07 3.888169374622014377e-07 1.278205595494373497e-06 4.352177017168231256e-08
7.282032564431444754e+00 6.130595108967510096e-07 2.254797124803792700e-07 1.000639309313122643e-06 2.863527048607342163e-08
1.601764039826290897e+01 3.316405601878792037e-07 9.417068257644210599e-08 5.691104377993163411e-07 3.454048904121108834e-08
3.523240441815482882e+01 1.452432176313649837e-07 4.532895002046302467e-08 2.451574852422669229e-07 4.054843960912099771e-08
7.749644123457747469e+01 8.140513398219867921e-08 1.896184864037591509e-09 1.609140831003597632e-07 4.540905988468518514e-08
1.704599674812477303e+02 1.685179698974790605e-08 8.215828880988563369e-11 3.362143569068592845e-08 3.242582150873784265e-08
3.749416797515359008e+02 6.272267765451320252e-08 1.867059247818552641e-08 1.067747628308408654e-07 5.587896724485132407e-08
