mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.2560000000e+01	nan	2.9934830911e+154	1.0000000000e+00	1.5346893020e+00	7.1460732336e+01	7.3280987454e-02
2.5590000000e+01	1.3163045180e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400443470e+00
3.3640000000e+01	1.0727599405e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401061426e+00
4.6710000000e+01	6.8582521225e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402527981e+00
6.4850000000e+01	5.2759210382e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401647715e+00
9.0050000000e+01	4.2490019905e-21	1.1866661058e-21	1.0000000000e+00	1.9794365737e+00	6.5566604742e+01	3.8403762281e+00
1.2505000000e+02	3.0865292701e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401266564e+00
1.7363000000e+02	1.2616461841e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400989577e+00
2.2827000000e+02	1.1805688512e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402384320e+00
3.1697000000e+02	2.0637501433e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401109675e+00
4.4013000000e+02	9.7525231091e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400652977e+00
6.1115000000e+02	2.3529608229e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401545416e+00
8.4863000000e+02	4.8211904096e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401416729e+00
1.0000000000e+03	2.8028969540e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401875273e+00
