L_kpc	mDM_GeV	R_GV	flux
1	16.69	1.37331724e-01	6.81053769e-11
1	16.69	1.39801434e-01	7.15735517e-11
1	16.69	1.42315558e-01	7.52094114e-11
1	16.69	1.44874895e-01	7.90204773e-11
1	16.69	1.47480258e-01	8.30145818e-11
1	16.69	1.50132474e-01	8.71998820e-11
1	16.69	1.52832387e-01	9.15848739e-11
1	16.69	1.55580853e-01	9.61784086e-11
1	16.69	1.58378747e-01	1.00989709e-10
1	16.69	1.61226957e-01	1.06028386e-10
1	16.69	1.64126387e-01	1.11304464e-10
1	16.69	1.67077960e-01	1.16828397e-10
1	16.69	1.70082612e-01	1.22611093e-10
1	16.69	1.73141299e-01	1.28663942e-10
1	16.69	1.76254991e-01	1.34998825e-10
1	16.69	1.79424679e-01	1.41627805e-10
1	16.69	1.82651369e-01	1.48563111e-10
1	16.69	1.85936087e-01	1.55817355e-10
1	16.69	1.89279875e-01	1.63403539e-10
1	16.69	1.92683796e-01	1.71335059e-10
1	16.69	1.96148932e-01	1.79625694e-10
1	16.69	1.99676383e-01	1.88289592e-10
1	16.69	2.03267270e-01	1.97333022e-10
1	16.69	2.06922734e-01	2.06756150e-10
1	16.69	2.10643936e-01	2.16569493e-10
1	16.69	2.14432059e-01	2.26783159e-10
1	16.69	2.18288306e-01	2.37406848e-10
1	16.69	2.22213901e-01	2.48449739e-10
1	16.69	2.26210092e-01	2.59920369e-10
1	16.69	2.30278150e-01	2.71826499e-10
1	16.69	2.34419365e-01	2.84174977e-10
1	16.69	2.38635054e-01	2.96971579e-10
1	16.69	2.42926555e-01	3.10220833e-10
1	16.69	2.47295234e-01	3.23925835e-10
1	16.69	2.51742476e-01	3.38088033e-10
1	16.69	2.56269696e-01	3.52707145e-10
1	16.69	2.60878331e-01	3.67781410e-10
1	16.69	2.65569845e-01	3.83307130e-10
1	16.69	2.70345730e-01	3.99278349e-10
1	16.69	2.75207502e-01	4.15686629e-10
1	16.69	2.80156706e-01	4.32520820e-10
1	16.69	2.85194914e-01	4.49766824e-10
1	16.69	2.90323726e-01	4.67407351e-10
1	16.69	2.95544773e-01	4.85421671e-10
1	16.69	3.00859713e-01	5.03785365e-10
1	16.69	3.06270234e-01	5.22470085e-10
1	16.69	3.11778056e-01	5.41443305e-10
1	16.69	3.17384927e-01	5.60667858e-10
1	16.69	3.23092630e-01	5.80099098e-10
1	16.69	3.28902978e-01	5.99684515e-10
1	16.69	3.34817816e-01	6.19364695e-10
1	16.69	3.40839024e-01	6.39072857e-10
1	16.69	3.46968515e-01	6.58734387e-10
1	16.69	3.53208235e-01	6.78266402e-10
1	16.69	3.59560168e-01	6.97577326e-10
1	16.69	3.66026331e-01	7.16566544e-10
1	16.69	3.72608778e-01	7.35123696e-10
1	16.69	3.79309601e-01	7.53125915e-10
1	16.69	3.86130928e-01	7.70438414e-10
1	16.69	3.93074927e-01	7.86915388e-10
1	16.69	4.00143804e-01	8.02400053e-10
1	16.69	4.07339804e-01	8.16724994e-10
1	16.69	4.14665214e-01	8.29712651e-10
1	16.69	4.22122360e-01	8.41173737e-10
1	16.69	4.29713613e-01	8.50893240e-10
1	16.69	4.37441382e-01	8.58638451e-10
