mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
3.0720000000e+01	3.0387272211e-20	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400953514e+00
3.3790000000e+01	3.9381533545e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401246026e+00
4.7190000000e+01	1.1636104509e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403312951e+00
6.5910000000e+01	1.0138936774e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400753894e+00
8.7750000000e+01	1.8830807252e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400136756e+00
1.2254000000e+02	2.0356547863e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401926683e+00
1.7113000000e+02	1.3606690106e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402891607e+00
2.3899000000e+02	8.2866567279e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400113313e+00
3.1820000000e+02	2.2455899110e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400253610e+00
4.4437000000e+02	1.4897326771e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401933172e+00
6.2057000000e+02	2.9822397515e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401734254e+00
8.2626000000e+02	9.2539110863e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401131170e+00
1.0000000000e+03	6.9169755759e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402165717e+00
