mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
7.0930000000e+01	6.8719488747e-20	9.8543964623e-21	1.0000000000e+00	1.9990182031e+00	7.1054077407e+01	3.8403311757e+00
9.0550000000e+01	7.4903721698e-21	1.4154186256e-21	1.0000000000e+00	2.0596252516e+00	7.0552638839e+01	3.8400352130e+00
1.2541000000e+02	7.1060324232e-21	9.9662379966e-22	1.0000000000e+00	1.9745484350e+00	7.1043374046e+01	3.8403159276e+00
1.6676000000e+02	8.4673944028e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401309025e+00
2.3095000000e+02	9.4495346555e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401385211e+00
3.1986000000e+02	8.8280741906e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401791076e+00
4.4300000000e+02	1.7714508055e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401932510e+00
6.1354000000e+02	2.2729257275e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402675087e+00
8.4973000000e+02	3.0162451004e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400486038e+00
1.0000000000e+03	5.3536115239e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400955211e+00
