L_kpc	mDM_GeV	R_GV	flux
1	94	1.37331724e-01	1.48689818e-10
1	94	1.39801434e-01	1.56779597e-10
1	94	1.42315558e-01	1.65307840e-10
1	94	1.44874895e-01	1.74298135e-10
1	94	1.47480258e-01	1.83775317e-10
1	94	1.50132474e-01	1.93765536e-10
1	94	1.52832387e-01	2.04296321e-10
1	94	1.55580853e-01	2.15396647e-10
1	94	1.58378747e-01	2.27097014e-10
1	94	1.61226957e-01	2.39429518e-10
1	94	1.64126387e-01	2.52427934e-10
1	94	1.67077960e-01	2.66127797e-10
1	94	1.70082612e-01	2.80566488e-10
1	94	1.73141299e-01	2.95783327e-10
1	94	1.76254991e-01	3.11819668e-10
1	94	1.79424679e-01	3.28719066e-10
1	94	1.82651369e-01	3.46527388e-10
1	94	1.85936087e-01	3.65292885e-10
1	94	1.89279875e-01	3.85066314e-10
1	94	1.92683796e-01	4.05901057e-10
1	94	1.96148932e-01	4.27853252e-10
1	94	1.99676383e-01	4.50981933e-10
1	94	2.03267270e-01	4.75348953e-10
1	94	2.06922734e-01	5.01019227e-10
1	94	2.10643936e-01	5.28061305e-10
1	94	2.14432059e-01	5.56547239e-10
1	94	2.18288306e-01	5.86552746e-10
1	94	2.22213901e-01	6.18157386e-10
1	94	2.26210092e-01	6.51444745e-10
1	94	2.30278150e-01	6.86502616e-10
1	94	2.34419365e-01	7.23423202e-10
1	94	2.38635054e-01	7.62303309e-10
1	94	2.42926555e-01	8.03244557e-10
1	94	2.47295234e-01	8.46353592e-10
1	94	2.51742476e-01	8.91742305e-10
1	94	2.56269696e-01	9.39528101e-10
1	94	2.60878331e-01	9.89834312e-10
1	94	2.65569845e-01	1.04279037e-09
1	94	2.70345730e-01	1.09853202e-09
1	94	2.75207502e-01	1.15720166e-09
1	94	2.80156706e-01	1.21894852e-09
1	94	2.85194914e-01	1.28392909e-09
1	94	2.90323726e-01	1.35230729e-09
1	94	2.95544773e-01	1.42425489e-09
1	94	3.00859713e-01	1.49995176e-09
1	94	3.06270234e-01	1.57958621e-09
1	94	3.11778056e-01	1.66335536e-09
1	94	3.17384927e-01	1.75146543e-09
1	94	3.23092630e-01	1.84413282e-09
1	94	3.28902978e-01	1.94158447e-09
1	94	3.34817816e-01	2.04405801e-09
1	94	3.40839024e-01	2.15180227e-09
1	94	3.46968515e-01	2.26507773e-09
1	94	3.53208235e-01	2.38415709e-09
1	94	3.59560168e-01	2.50932579e-09
1	94	3.66026331e-01	2.64088259e-09
1	94	3.72608778e-01	2.77914038e-09
1	94	3.79309601e-01	2.92442778e-09
1	94	3.86130928e-01	3.07708973e-09
1	94	3.93074927e-01	3.23748806e-09
1	94	4.00143804e-01	3.40600248e-09
1	94	4.07339804e-01	3.58303162e-09
1	94	4.14665214e-01	3.76899426e-09
1	94	4.22122360e-01	3.96433117e-09
1	94	4.29713613e-01	4.16951006e-09
1	94	4.37441382e-01	4.38502656e-09
1	94	4.45308125e-01	4.61140543e-09
1	94	4.53316339e-01	4.84920323e-09
1	94	4.61468569e-01	5.09901129e-09
1	94	4.69767406e-01	5.36146263e-09
1	94	4.78215484e-01	5.63724619e-09
1	94	4.86815489e-01	5.92710679e-09
1	94	4.95570152e-01	6.23185001e-09
1	94	5.04482256e-01	6.55234991e-09
1	94	5.13554630e-01	6.88956874e-09
1	94	5.22790158e-01	7.24459791e-09
1	94	5.32191773e-01	7.61865606e-09
1	94	5.41762462e-01	8.01310263e-09
1	94	5.51505266e-01	8.42946623e-09
1	94	5.61423281e-01	8.86955211e-09
1	94	5.71519656e-01	9.33547925e-09
1	94	5.81797600e-01	9.82968747e-09
1	94	5.92260377e-01	1.03550129e-08
1	94	6.02911312e-01	1.09149509e-08
1	94	6.13753789e-01	1.15137346e-08
1	94	6.24791252e-01	1.21563764e-08
1	94	6.36027207e-01	1.28490145e-08
1	94	6.47465225e-01	1.35995297e-08
1	94	6.59108938e-01	1.44176047e-08
1	94	6.70962047e-01	1.53137641e-08
1	94	6.83028317e-01	1.62908593e-08
1	94	6.95311580e-01	1.73454343e-08
1	94	7.07815740e-01	1.84709104e-08
1	94	7.20544769e-01	1.96666330e-08
1	94	7.33502712e-01	2.09368132e-08
1	94	7.46693683e-01	2.22858462e-08
1	94	7.60121875e-01	2.37172861e-08
1	94	7.73791554e-01	2.52340042e-08
1	94	7.87707061e-01	2.68390416e-08
1	94	8.01872819e-01	2.85370999e-08
1	94	8.16293327e-01	3.03336420e-08
1	94	8.30973166e-01	3.22348097e-08
1	94	8.45917001e-01	3.42475828e-08
1	94	8.61129579e-01	3.63799813e-08
1	94	8.76615733e-01	3.86418044e-08
1	94	8.92380383e-01	4.10447053e-08
1	94	9.08428537e-01	4.36043462e-08
1	94	9.24765293e-01	4.63409091e-08
1	94	9.41395842e-01	4.92774482e-08
1	94	9.58325468e-01	5.24396446e-08
1	94	9.75559547e-01	5.58692913e-08
1	94	9.93103556e-01	5.96485435e-08
1	94	1.01096307e+00	6.38547046e-08
1	94	1.02914376e+00	6.84772962e-08
1	94	1.04765140e+00	7.34759547e-08
1	94	1.06649188e+00	7.88287920e-08
1	94	1.08567117e+00	8.45193334e-08
1	94	1.10519538e+00	9.05510966e-08
1	94	1.12507070e+00	9.69355111e-08
1	94	1.14530345e+00	1.03692969e-07
1	94	1.16590005e+00	1.10852558e-07
1	94	1.18686705e+00	1.18457125e-07
1	94	1.20821112e+00	1.26564488e-07
1	94	1.22993903e+00	1.35252633e-07
1	94	1.25205768e+00	1.44634993e-07
1	94	1.27457410e+00	1.54868506e-07
1	94	1.29749545e+00	1.66146749e-07
1	94	1.32082900e+00	1.78760716e-07
1	94	1.34458218e+00	1.93241638e-07
1	94	1.36876252e+00	2.09797090e-07
1	94	1.39337771e+00	2.27813583e-07
1	94	1.41843556e+00	2.46989377e-07
1	94	1.44394405e+00	2.67375264e-07
1	94	1.46991127e+00	2.88977312e-07
1	94	1.49634547e+00	3.11845139e-07
1	94	1.52325505e+00	3.36138499e-07
1	94	1.55064856e+00	3.62083545e-07
1	94	1.57853470e+00	3.90018740e-07
1	94	1.60692234e+00	4.20449730e-07
1	94	1.63582048e+00	4.54029236e-07
