3.133289015970278646e-01 3.264574605364645293e-07 5.544229240413795611e-08 2.787417761031327235e-07 3.891881323624458809e-07
4.069987803028407014e-01 3.108543510568437605e-07 4.607257234506683729e-08 2.689369192006108783e-07 3.606376515517895891e-07
5.289536773971799111e-01 5.299810259090770494e-07 3.765755122993988299e-08 4.929257891838809317e-07 5.673136524994749227e-07
6.875696306033302063e-01 7.006028256155751501e-07 3.083563186236428708e-08 6.673861367194596822e-07 7.285638571221216856e-07
8.942482716382514907e-01 7.531734137176348538e-07 2.399454985920763565e-08 7.305504407737970443e-07 7.775518221272558108e-07
1.160344787821275148e+00 8.781848660362892891e-07 2.446739689752056163e-08 8.548465053349498444e-07 9.037615249190814741e-07
1.506784684689886245e+00 9.104262447895485410e-07 2.365589985195412374e-08 8.853007689829745881e-07 9.328941101007403987e-07
1.962855088462721831e+00 8.753218999847656252e-07 2.337108299368383210e-08 8.563062449536890628e-07 9.021364709903358441e-07
2.553115709866671690e+00 7.508502335393474632e-07 2.533876172243557468e-08 7.316763972420009700e-07 7.819587693561171390e-07
3.316594679298632276e+00 7.853170492141837515e-07 2.836106057087882308e-08 7.546216489391121116e-07 8.108962830332711413e-07
4.308108563430591786e+00 7.126103748129517362e-07 2.982386984512928455e-08 6.764569579674639162e-07 7.368236875775512517e-07
7.282032564431444754e+00 5.061911759036725406e-07 2.030085266429325196e-08 4.913615179726545221e-07 5.316804711271108677e-07
1.601764039826290897e+01 2.801886773757407860e-07 2.475676389457965794e-08 2.603870278581790335e-07 3.090609241480968877e-07
3.523240441815482882e+01 2.097771845805375542e-07 2.926234909070327212e-08 1.806265082206595294e-07 2.383033061045465352e-07
7.749644123457747469e+01 1.714319060249035355e-07 3.696861224852294793e-08 1.374461805481083926e-07 2.112106233862289518e-07
1.704599674812477303e+02 3.961948613646883485e-08 3.490370229247822382e-08 2.022261892077688881e-08 9.170021656609923356e-08
3.749416797515359008e+02 6.220938822273542911e-08 4.506615130486372102e-08 2.720747409830896221e-08 1.197260938754659005e-07
