# energy, flux_median, flux_min, flux_max, statistical uncertainty average
3.133289015970278646e-01 2.084202006022610657e-07 1.301238117691034475e-12 4.168390999664044333e-07 2.943632784304576269e-08
4.069987803028407014e-01 2.389186975830191927e-07 2.860988920761065084e-13 4.778371090671463573e-07 2.569097350042663135e-08
5.289536773971799111e-01 3.906998623487483462e-07 9.112362898413240006e-11 7.813086010685125845e-07 3.069853789981631204e-08
6.875696306033302063e-01 5.190750130591243044e-07 4.100954732844084520e-10 1.037739930644964170e-06 3.135347019726359777e-08
8.942482716382514907e-01 5.584409667210235349e-07 5.384116436998015225e-10 1.116343521798347204e-06 2.534431177000712115e-08
1.160344787821275148e+00 6.869116805443757477e-07 1.729830665341517440e-07 1.200840294554599752e-06 2.603223079007133313e-08
1.506784684689886245e+00 7.670806126003517608e-07 2.516807301189898539e-07 1.282480495081713774e-06 2.469158606815050811e-08
1.962855088462721831e+00 8.325900876980601980e-07 3.540360389378208371e-07 1.311144136458299506e-06 2.546278161191458808e-08
2.553115709866671690e+00 7.911942311278050706e-07 3.036572285877565431e-07 1.278731233667853545e-06 2.702179669742479658e-08
3.316594679298632276e+00 8.724687651494442430e-07 4.174957372173779503e-07 1.327441793081510483e-06 2.980120740630699731e-08
4.308108563430591786e+00 8.120082134968981731e-07 3.329933652614488389e-07 1.291023061732347560e-06 3.185970704162107283e-08
7.282032564431444754e+00 6.305999083525450975e-07 2.498439783954819032e-07 1.011355838309608186e-06 2.097446578393882198e-08
1.601764039826290897e+01 3.261776638523677917e-07 8.865743455764584524e-08 5.636978931470897911e-07 2.549212561353052207e-08
3.523240441815482882e+01 1.324297802963768263e-07 3.051688577967811247e-08 2.343426748130755599e-07 2.984347508135181745e-08
7.749644123457747469e+01 1.081540699032166053e-07 1.443039427846314421e-08 2.018777455279700664e-07 3.586784527215166033e-08
1.704599674812477303e+02 3.543725522839074799e-08 4.645113489035909142e-11 7.082805932189113446e-08 2.796275889996559051e-08
3.749416797515359008e+02 4.331392263970900887e-08 1.114293231910436285e-09 8.551355204750758663e-08 4.292680318283471981e-08
