mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
2.3500000000e+01	2.7788933937e-26	2.1750081838e-27	1.0000000000e+00	1.9718828151e+00	7.1417735497e+01	3.8401799256e+00
2.5350000000e+01	1.7427832647e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403710325e+00
3.4320000000e+01	4.2390523929e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402103350e+00
4.8270000000e+01	5.0062558799e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400393801e+00
6.5360000000e+01	9.9113638625e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402520154e+00
8.8500000000e+01	2.3713365349e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402443463e+00
1.2446000000e+02	4.4604814701e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403276403e+00
1.6853000000e+02	3.3320800898e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400491621e+00
2.3700000000e+02	2.0779323177e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400426189e+00
3.2091000000e+02	1.7062711226e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400875439e+00
4.3453000000e+02	1.8006073635e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402507260e+00
6.1108000000e+02	2.3761569117e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401313271e+00
8.2743000000e+02	3.5491843961e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402492579e+00
1.0000000000e+03	4.8342373641e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400484335e+00
