mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.6690000000e+01	1.0559807685e+05	3.6801644301e-10	1.0000000000e+00	2.0252631188e+00	7.0612623286e+01	3.8402307425e+00
2.5270000000e+01	2.7270450393e-20	7.8596595284e-21	1.0000000000e+00	1.9812825035e+00	6.4635108807e+01	3.8405587346e+00
3.4480000000e+01	2.6921501965e-21	6.3726375532e-22	1.0000000000e+00	1.9524432556e+00	6.8525991612e+01	3.8400554203e+00
4.7050000000e+01	8.2196183580e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401354482e+00
6.4200000000e+01	4.3315310957e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400419000e+00
8.7610000000e+01	6.8739380031e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402641204e+00
1.2590000000e+02	2.9037964365e-21	3.1739180963e-22	1.0000000000e+00	1.9219052304e+00	7.1211567922e+01	3.8400092234e+00
1.7180000000e+02	3.8225520584e-21	5.2082289062e-22	1.0000000000e+00	1.9016826088e+00	7.0961499365e+01	3.8400534923e+00
2.3443000000e+02	2.1028820394e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400206836e+00
3.1990000000e+02	9.3287811459e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400886812e+00
4.3653000000e+02	1.0575080943e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401485723e+00
5.9567000000e+02	1.1728029993e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402756832e+00
8.5606000000e+02	3.8336029742e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400416667e+00
1.0000000000e+03	2.7333379072e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401647975e+00
