mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.5670000000e+01	5.5042994579e-25	1.5641440828e-25	1.0000000000e+00	1.9570129715e+00	6.5263071608e+01	3.8404158672e+00
2.4860000000e+01	8.7524730462e-26	1.8195446229e-26	1.0000000000e+00	1.9070527963e+00	6.9727861673e+01	3.8400363866e+00
3.4790000000e+01	6.1277524175e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402476360e+00
4.6670000000e+01	6.4088045574e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401379193e+00
6.5300000000e+01	1.2212029338e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400385104e+00
9.1360000000e+01	3.1190056447e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401603658e+00
1.2257000000e+02	5.5492858780e-25	2.5705660049e-26	1.0000000000e+00	1.9303606741e+00	7.1472815185e+01	3.8400688639e+00
1.7149000000e+02	4.6469414780e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400125430e+00
2.3007000000e+02	2.8712946732e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400251562e+00
3.2190000000e+02	1.8922974690e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400319519e+00
4.5038000000e+02	1.7905800084e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402325526e+00
6.0424000000e+02	2.3299674437e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400006721e+00
8.4541000000e+02	3.6605062680e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402483238e+00
1.0000000000e+03	4.8510370388e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402434066e+00
