mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.9570000000e+01	1.3258400660e-26	2.8433339709e-27	1.0000000000e+00	1.9080852154e+00	6.9506836008e+01	3.8403486980e+00
2.4900000000e+01	3.3056965976e-26	6.4543750294e-27	1.0000000000e+00	1.9111262404e+00	7.0075258488e+01	3.8404033935e+00
3.4330000000e+01	2.5488652040e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402443709e+00
4.7330000000e+01	2.9659268339e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401433577e+00
6.5250000000e+01	5.8580341447e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401034880e+00
8.9960000000e+01	1.3739665733e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400991470e+00
1.2402000000e+02	2.5279375769e-25	5.0256262733e-27	1.0000000000e+00	1.9760756965e+00	7.1523909351e+01	3.8402125438e+00
1.7099000000e+02	2.0538103386e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401455093e+00
2.3573000000e+02	1.2506922070e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400369959e+00
3.2500000000e+02	9.4735033974e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401390061e+00
4.4807000000e+02	9.0251553075e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402362987e+00
6.1774000000e+02	1.1944285363e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402051051e+00
8.5167000000e+02	1.8588135441e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402013631e+00
1.0000000000e+03	2.4020315640e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401407576e+00
